text,lbl
thức coffee, 0
coffe, 0
cafe, 0
bakery, 0
siêu thị, 0
market, 0
minimart, 0
nhà sách, 0
quán ăn, 0
nhà hàng, 0
circle k, 0
family mart, 0
millano coffee, 0
ministop, 0
vinmart, 0
trung nguyen coffee, 0
laha cafe, 0
big c, 0
pharmacy, 0
coop mart, 0
vincommerce, 0
tổ khu, 1
tỉnh, 1
số nhà, 1
quận, 1
huyện, 1
phường, 1
thành phố, 1
hồ chí minh, 1
tphcm, 1
hcm, 1
hà nội, 1
gia lâm, 1
đường, 1
gò vấp, 1
An Giang, 1
Bà Rịa, 1
Vũng Tàu, 1
Bắc Giang, 1
Bắc Kạn, 1
Bạc Liêu, 1
Bắc Ninh, 1
Bến Tre, 1
Bình Định, 1
Bình Dương, 1
Bình Phước, 1
Bình Thuận, 1
Cà Mau, 1
Cao Bằng, 1
Đắk Lắk, 1
Đắk Nông, 1
Điện Biên, 1
Đồng Nai, 1
Đồng Tháp, 1
Gia Lai, 1
Hà Giang, 1
Hà Nam, 1
Hà Tĩnh, 1
Hải Dương, 1
Hậu Giang, 1
Hòa Bình, 1
Hưng Yên, 1
Khánh Hòa, 1
Kiên Giang, 1
Kon Tum, 1
Lai Châu, 1
Lâm Đồng, 1
Lạng Sơn, 1
Lào Cai, 1
Long An, 1
Nam Định, 1
Nghệ An, 1
Ninh Bình, 1
Ninh Thuận, 1
Phú Thọ, 1
Quảng Bình, 1	
Quảng Nam, 1
Quảng Ngãi, 1
Quảng Ninh, 1
Quảng Trị, 1
Sóc Trăng, 1
Sơn La, 1
Tây Ninh, 1
Thái Bình, 1
Thái Nguyên, 1
Thanh Hóa, 1
Thừa Thiên Huế, 1
Tiền Giang, 1
Trà Vinh, 1
Tuyên Quang, 1
Vĩnh Long, 1
Vĩnh Phúc, 1
Lieu Giai, 1
Yên Bái, 1
Phú Yên, 1 
Cần Thơ, 1
Đà Nẵng, 1
thành phố vinh, 1
Hải Phòng, 1
Hà Nội, 1
hanoi, 1
phú nhuận, 1
bình thạnh, 1
tân bình, 1
quang trung, 1
ngày, 2
tháng, 2
năm, 2
ngày tháng năm, 2
giờ, 2
phút, 2
giây, 2
date, 2
thời gian, 2
tổng cộng, 3
khách phải trả, 3
tiền khách trả, 3
tổng thanh toán, 3
tổng số tiền, 3
total cost, 3
tiền thanh toán, 3
tổng chi phí, 3
tổng tiền, 3
tổng giá tiền, 3
tổng giá trị đơn hàng, 3
tổng tiền t. toán, 3